Entry	Entry name	Entry name	Protein names	Gene names	Organism	Gene names  (synonym )	Gene names  (primary )
H0YJJ9	H0YJJ9	h0yjj9	Serine/threonine-protein kinase VRK1 (Fragment)	VRK1	Homo sapiens (Human)		VRK1
B4DG22	B4DG22	b4dg22	"cDNA FLJ56618, highly similar to Ribosomal protein S6 kinase alpha-3 (EC 2.7.11.1)"		Homo sapiens (Human)		
A0A024R980	A0A024R980	a0a024r980	"PCTAIRE protein kinase 3, isoform CRA_a"	PCTK3 hCG_14997	Homo sapiens (Human)		PCTK3
Q9H4D1	Q9H4D1	q9h4d1	Protein kinase	dik	Homo sapiens (Human)		dik
B3KXJ4	B3KXJ4	b3kxj4	"cDNA FLJ45547 fis, clone BRTHA2035743, highly similar to Activated CDC42 kinase 1 (EC 2.7.10.2)"		Homo sapiens (Human)		
A8K0I1	A8K0I1	a8k0i1	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)		Homo sapiens (Human)		
B2RAP9	B2RAP9	b2rap9	"cDNA, FLJ95044, highly similar to Homo sapiens interleukin-1 receptor-associated kinase 4 (IRAK4), mRNA"		Homo sapiens (Human)		
B7Z8A0	B7Z8A0	b7z8a0	"cDNA FLJ54727, highly similar to 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"		Homo sapiens (Human)		
B4DUI2	B4DUI2	b4dui2	"cDNA FLJ61415, highly similar to Protein kinase C and casein kinase substratein neurons protein 3"		Homo sapiens (Human)		
H0YJ50	H0YJ50	h0yj50	Serine/threonine-protein kinase VRK1 (Fragment)	VRK1	Homo sapiens (Human)		VRK1
M0QZ79	M0QZ79	m0qz79	Inactive serine/threonine-protein kinase VRK3 (Fragment)	VRK3	Homo sapiens (Human)		VRK3
B6D4Y8	B6D4Y8	b6d4y8	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)		ALK
B4DFN2	B4DFN2	b4dfn2	"cDNA FLJ58133, highly similar to Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1)"		Homo sapiens (Human)		
B4DI12	B4DI12	b4di12	"cDNA FLJ56014, highly similar to Homo sapiens kinase D-interacting substance of 220 kDa (KIDINS220), mRNA"		Homo sapiens (Human)		
Q8N9T3	Q8N9T3	q8n9t3	"cDNA FLJ36570 fis, clone TRACH2011302, highly similar to SELENIDE,WATER DIKINASE 2 (EC 2.7.9.3)"		Homo sapiens (Human)		
C9JS57	C9JS57	c9js57	Small membrane A-kinase anchor protein (Fragment)	C2orf88	Homo sapiens (Human)		C2orf88
H0Y7J9	H0Y7J9	h0y7j9	Serine/threonine-protein kinase WNK2 (Fragment)	WNK2	Homo sapiens (Human)		WNK2
B4DF55	B4DF55	b4df55	"cDNA FLJ52454, highly similar to Creatine kinase, ubiquitous mitochondrial (EC 2.7.3.2)"		Homo sapiens (Human)		
J3QLK5	J3QLK5	j3qlk5	Serine/threonine-protein kinase tousled-like 2	TLK2	Homo sapiens (Human)		TLK2
B1AQN8	B1AQN8	b1aqn8	Serine/threonine-protein kinase WNK3 (Fragment)	WNK3	Homo sapiens (Human)		WNK3
F8W8U2	F8W8U2	f8w8u2	MAP kinase-activating death domain protein	MADD	Homo sapiens (Human)		MADD
O00334	O00334	o00334	Phosphatidylinositol 3-kinase delta catalytic subunit		Homo sapiens (Human)		
E7ETG2	E7ETG2	e7etg2	Serine/threonine-protein kinase/endoribonuclease IRE2	ERN2	Homo sapiens (Human)		ERN2
Q5XLC3	Q5XLC3	q5xlc3	"6-phosphofructo-2-kinase/fructose-2, 6-biphosphatase 4 splice isoform 4 (EC 2.7.1.105) (EC 3.1.3.46)"		Homo sapiens (Human)		
A6YCE1	A6YCE1	a6yce1	Protein kinase A regulatory subunit type I/alpha-retinoic acid receptor alpha fusion protein isoform a (Fragment)	PRKAR1A/RARA fusion	Homo sapiens (Human)		PRKAR1A/RARA fusion
E5RHF7	E5RHF7	e5rhf7	Tyrosine-protein kinase Fyn (Fragment)	FYN	Homo sapiens (Human)		FYN
Q8N9Z6	Q8N9Z6	q8n9z6	"cDNA FLJ36019 fis, clone TESTI2016421, highly similar to PROTEIN KINASE C-BINDING PROTEIN NELL1"		Homo sapiens (Human)		
H0YH68	H0YH68	h0yh68	Serine/threonine-protein kinase WNK1 (Fragment)	WNK1	Homo sapiens (Human)		WNK1
A8K4G3	A8K4G3	a8k4g3	Tyrosine-protein kinase (EC 2.7.10.2)		Homo sapiens (Human)		
D6RBD0	D6RBD0	d6rbd0	Receptor of-activated protein C kinase 1 (Fragment)	RACK1	Homo sapiens (Human)		RACK1
B4DHN0	B4DHN0	b4dhn0	Mitogen-activated protein kinase (EC 2.7.11.24)		Homo sapiens (Human)		
A0A087WVC4	A0A087WVC4	a0a087wvc4	cAMP-dependent protein kinase catalytic subunit beta	PRKACB	Homo sapiens (Human)		PRKACB
E5FF38	E5FF38	e5ff38	PI3 kinase (Fragment)	PI3CA	Homo sapiens (Human)		PI3CA
Q59ET9	Q59ET9	q59et9	Mevalonate kinase (MK) (EC 2.7.1.36) (Fragment)		Homo sapiens (Human)		
Q5DVJ3	Q5DVJ3	q5dvj3	Ceramide kinase-like protein (Fragment)	CERKL	Homo sapiens (Human)		CERKL
Q5XKD4	Q5XKD4	q5xkd4	Cyclin-dependent kinase 5 activator	CDK5R2	Homo sapiens (Human)		CDK5R2
A6YCE2	A6YCE2	a6yce2	Protein kinase A regulatory subunit type I/alpha-retinoic acid receptor alpha fusion protein isoform b	PRKAR1A/RARA fusion	Homo sapiens (Human)		PRKAR1A/RARA fusion
K7ES52	K7ES52	k7es52	Thymidine kinase (EC 2.7.1.21)	TK1	Homo sapiens (Human)		TK1
M0R2F4	M0R2F4	m0r2f4	"Atypical kinase COQ8B, mitochondrial"	COQ8B	Homo sapiens (Human)		COQ8B
Q05D26	Q05D26	q05d26	Tyrosine-protein kinase (EC 2.7.10.2) (Fragment)	BLK	Homo sapiens (Human)		BLK
H0YJK0	H0YJK0	h0yjk0	Creatine kinase B-type (Fragment)	CKB	Homo sapiens (Human)		CKB
E9PJ92	E9PJ92	e9pj92	Tyrosine-protein kinase (EC 2.7.10.2) (Fragment)	LCK	Homo sapiens (Human)		LCK
B4E2Z8	B4E2Z8	b4e2z8	"cDNA FLJ61206, highly similar to Homo sapiens multiple substrate lipid kinase (MULK), mRNA"		Homo sapiens (Human)		
E5RFS5	E5RFS5	e5rfs5	Tyrosine-protein kinase Fyn (Fragment)	FYN	Homo sapiens (Human)		FYN
E5RFM6	E5RFM6	e5rfm6	Tyrosine-protein kinase Fyn (Fragment)	FYN	Homo sapiens (Human)		FYN
H7BZV6	H7BZV6	h7bzv6	A-kinase anchor protein 9 (Fragment)	AKAP9	Homo sapiens (Human)		AKAP9
A0A0B5HR54	A0A0B5HR54	a0a0b5hr54	Serine/threonine-protein kinase receptor (EC 2.7.11.30)		Homo sapiens (Human)		
Q59FL1	Q59FL1	q59fl1	Serine/threonine-protein kinase receptor (EC 2.7.11.30) (Fragment)		Homo sapiens (Human)		
C9JT96	C9JT96	c9jt96	"Creatine kinase U-type, mitochondrial (Fragment)"	CKMT1A	Homo sapiens (Human)		CKMT1A
B4DJC7	B4DJC7	b4djc7	"cDNA FLJ60590, highly similar to Interferon-inducible double strandedRNA-dependent protein kinase activator A"		Homo sapiens (Human)		
M0QYI1	M0QYI1	m0qyi1	Bifunctional polynucleotide phosphatase/kinase (Fragment)	PNKP	Homo sapiens (Human)		PNKP
A0A1S5UZ27	A0A1S5UZ27	a0a1s5uz27	Serine/threonine-protein kinase D3	PRKD3	Homo sapiens (Human)		PRKD3
A0A024R807	A0A024R807	a0a024r807	"Serum/glucocorticoid regulated kinase family, member 3, isoform CRA_a"	SGK3 hCG_18389	Homo sapiens (Human)		SGK3
Q1WIQ9	Q1WIQ9	q1wiq9	Phosphoinositide-3-kinase D		Homo sapiens (Human)		
H7C175	H7C175	h7c175	Serine/threonine-protein kinase LMTK1	AATK	Homo sapiens (Human)		AATK
M0QYL4	M0QYL4	m0qyl4	A-kinase anchor protein 8 (Fragment)	AKAP8	Homo sapiens (Human)		AKAP8
E9PM17	E9PM17	e9pm17	Serine/threonine-protein kinase PAK 1	PAK1	Homo sapiens (Human)		PAK1
D6RDI0	D6RDI0	d6rdi0	Receptor of-activated protein C kinase 1	RACK1	Homo sapiens (Human)		RACK1
B4E0C6	B4E0C6	b4e0c6	"cDNA FLJ58783, highly similar to Diacylglycerol kinase alpha (EC 2.7.1.107)"		Homo sapiens (Human)		
A0A0U1RQV4	A0A0U1RQV4	a0a0u1rqv4	Rho-associated protein kinase 1	ROCK1	Homo sapiens (Human)		ROCK1
E5RFM4	E5RFM4	e5rfm4	Tyrosine-protein kinase Fyn (Fragment)	FYN	Homo sapiens (Human)		FYN
B7Z9T7	B7Z9T7	b7z9t7	"cDNA, FLJ78951, highly similar to Creatine kinase, ubiquitous mitochondrial (EC 2.7.3.2)"		Homo sapiens (Human)		
M1V481	M1V481	m1v481	Tyrosine-protein kinase receptor (EC 2.7.10.1)	KIF5B-ALK_K17;A20	Homo sapiens (Human)		KIF5B-ALK_K17;A20
A0A087X2D8	A0A087X2D8	a0a087x2d8	C-Jun-amino-terminal kinase-interacting protein 4	SPAG9	Homo sapiens (Human)		SPAG9
H0YBZ1	H0YBZ1	h0ybz1	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)		PTK2
E9PC85	E9PC85	e9pc85	Leucine-rich repeat serine/threonine-protein kinase 2	LRRK2	Homo sapiens (Human)		LRRK2
X5D7J4	X5D7J4	x5d7j4	Non-specific serine/threonine protein kinase (EC 2.7.11.1) (Fragment)	MARK1	Homo sapiens (Human)		MARK1
C9JSK5	C9JSK5	c9jsk5	cAMP-dependent protein kinase type I-beta regulatory subunit (Fragment)	PRKAR1B	Homo sapiens (Human)		PRKAR1B
E7ERL6	E7ERL6	e7erl6	Microtubule-associated serine/threonine-protein kinase 2	MAST2	Homo sapiens (Human)		MAST2
G3V4N7	G3V4N7	g3v4n7	Creatine kinase B-type (Fragment)	CKB	Homo sapiens (Human)		CKB
B3KY50	B3KY50	b3ky50	"cDNA FLJ46860 fis, clone UTERU3010919, highly similar to Serine/threonine-protein kinase Nek9 (EC 2.7.11.1)"		Homo sapiens (Human)		
A0A024R8Z7	A0A024R8Z7	a0a024r8z7	"Non-metastatic cells 7, protein expressed in (Nucleoside-diphosphate kinase), isoform CRA_b"	NME7 hCG_37799	Homo sapiens (Human)		NME7
E9PBB9	E9PBB9	e9pbb9	C-Jun-amino-terminal kinase-interacting protein 1	MAPK8IP1	Homo sapiens (Human)		MAPK8IP1
D6RBU4	D6RBU4	d6rbu4	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (Fragment)	PPIP5K2	Homo sapiens (Human)		PPIP5K2
J3KRM8	J3KRM8	j3krm8	Casein kinase I isoform delta (Fragment)	CSNK1D	Homo sapiens (Human)		CSNK1D
D6REX1	D6REX1	d6rex1	Dual-specificity protein kinase TTK (Fragment)	TTK	Homo sapiens (Human)		TTK
A0A087WZL3	A0A087WZL3	a0a087wzl3	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)		ALK
A8K2T7	A8K2T7	a8k2t7	Receptor protein-tyrosine kinase (EC 2.7.10.1)		Homo sapiens (Human)		
H0Y9J2	H0Y9J2	h0y9j2	Calcium/calmodulin-dependent protein kinase type II subunit delta (Fragment)	CAMK2D	Homo sapiens (Human)		CAMK2D
H3BN34	H3BN34	h3bn34	Pyruvate kinase PKM (Fragment)	PKM	Homo sapiens (Human)		PKM
A0A0D9SFR6	A0A0D9SFR6	a0a0d9sfr6	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	DGKH	Homo sapiens (Human)		DGKH
F6UYG0	F6UYG0	f6uyg0	Serine/threonine-protein kinase WNK1	WNK1	Homo sapiens (Human)		WNK1
B3KUG3	B3KUG3	b3kug3	"cDNA FLJ39825 fis, clone SPLEN2012175, highly similar to Nicotinamide riboside kinase 1 (EC 2.7.1.-)"		Homo sapiens (Human)		
F8TLS5	F8TLS5	f8tls5	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1)	RET	Homo sapiens (Human)		RET
Q59G02	Q59G02	q59g02	PCTAIRE protein kinase 3 isoform b variant (Fragment)		Homo sapiens (Human)		
E9PGP6	E9PGP6	e9pgp6	5'-AMP-activated protein kinase subunit gamma-2	PRKAG2	Homo sapiens (Human)		PRKAG2
A0A096LNL3	A0A096LNL3	a0a096lnl3	Tyrosine-protein kinase RYK	RYK	Homo sapiens (Human)		RYK
H0Y8C5	H0Y8C5	h0y8c5	Adenylate kinase 9 (Fragment)	AK9	Homo sapiens (Human)		AK9
H7C394	H7C394	h7c394	Calcium/calmodulin-dependent protein kinase type II subunit beta (Fragment)	CAMK2B	Homo sapiens (Human)		CAMK2B
E9PF63	E9PF63	e9pf63	Rho-associated protein kinase 2	ROCK2	Homo sapiens (Human)		ROCK2
B3KTI3	B3KTI3	b3kti3	"cDNA FLJ38318 fis, clone FCBBF3023887, highly similar to Protein kinase C-binding protein NELL2"		Homo sapiens (Human)		
H0YBP1	H0YBP1	h0ybp1	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)		PTK2
H0YMW2	H0YMW2	h0ymw2	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)		AKAP13
A0A0D9SEI3	A0A0D9SEI3	a0a0d9sei3	Cyclin-dependent kinase 11B	CDK11B	Homo sapiens (Human)		CDK11B
A0A024RD15	A0A024RD15	a0a024rd15	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK14 hCG_1818055	Homo sapiens (Human)		MAPK14
A0A0S2Z4Z7	A0A0S2Z4Z7	a0a0s2z4z7	A kinase anchor protein 10 isoform 1 (Fragment)	AKAP10	Homo sapiens (Human)		AKAP10
H7C517	H7C517	h7c517	Adenylate kinase 9 (Fragment)	AK9	Homo sapiens (Human)		AK9
I3L4Y0	I3L4Y0	i3l4y0	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (Fragment)	PKMYT1	Homo sapiens (Human)		PKMYT1
Q59GS6	Q59GS6	q59gs6	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107) (Fragment)		Homo sapiens (Human)		
F5H5B4	F5H5B4	f5h5b4	Serine/threonine-protein kinase 4	STK4	Homo sapiens (Human)		STK4
Q8N291	Q8N291	q8n291	"cDNA FLJ33648 fis, clone BRAMY2024449, weakly similar to ADENYLATE KINASE ISOENZYME 1 (EC 2.7.4.3)"		Homo sapiens (Human)		
K7EJC0	K7EJC0	k7ejc0	Casein kinase I isoform gamma-2 (Fragment)	CSNK1G2	Homo sapiens (Human)		CSNK1G2
J7GXU7	J7GXU7	j7gxu7	Phosphoinositide-3-kinase regulatory subunit (Fragment)	PIK3R1	Homo sapiens (Human)		PIK3R1
A0A0A6YYC0	A0A0A6YYC0	a0a0a6yyc0	Ribosomal protein S6 kinase alpha-4 (Fragment)	RPS6KA4	Homo sapiens (Human)		RPS6KA4
J3QR44	J3QR44	j3qr44	Cyclin-dependent kinase 11B	CDK11B	Homo sapiens (Human)		CDK11B
A0A0A0MSJ6	A0A0A0MSJ6	a0a0a0msj6	Cyclin-dependent kinase 18 (Fragment)	CDK18	Homo sapiens (Human)		CDK18
B7Z2B0	B7Z2B0	b7z2b0	"cDNA FLJ53470, highly similar to Calcium/calmodulin-dependent protein kinase type II delta chain (EC 2.7.11.17)"		Homo sapiens (Human)		
W0S1B5	W0S1B5	w0s1b5	Tyrosine-protein kinase (EC 2.7.10.2)	Pe1Fe6	Homo sapiens (Human)		Pe1Fe6
B4DDL9	B4DDL9	b4ddl9	"cDNA FLJ54979, highly similar to Homo sapiens cyclin-dependent kinase 2 (CDK2), transcript variant 2, mRNA"		Homo sapiens (Human)		
A8K2S4	A8K2S4	a8k2s4	Non-specific serine/threonine protein kinase (EC 2.7.11.1)		Homo sapiens (Human)		
A0A0D9SEY4	A0A0D9SEY4	a0a0d9sey4	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2"	MAGI2	Homo sapiens (Human)		MAGI2
B3KSE9	B3KSE9	b3kse9	"cDNA FLJ36092 fis, clone TESTI2020525, weakly similar to Phosphatidylinositol-4-phosphate 5-kinase homolog T3K9.2"		Homo sapiens (Human)		
H3BQP2	H3BQP2	h3bqp2	"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (Fragment)"	BCKDK	Homo sapiens (Human)		BCKDK
B4DV95	B4DV95	b4dv95	"cDNA FLJ53438, highly similar to Dual specificity mitogen-activated protein kinase kinase 7 (EC 2.7.12.2)"		Homo sapiens (Human)		
M0R025	M0R025	m0r025	Inactive serine/threonine-protein kinase VRK3 (Fragment)	VRK3	Homo sapiens (Human)		VRK3
B4DKQ6	B4DKQ6	b4dkq6	"cDNA FLJ54269, highly similar to Docking protein 2 (Downstream of tyrosine kinase 2)"		Homo sapiens (Human)		
F8VBW7	F8VBW7	f8vbw7	Male germ cell-associated kinase retina-specific isoform (Fragment)	MAK	Homo sapiens (Human)		MAK
B7ZBF6	B7ZBF6	b7zbf6	Serine/threonine-protein kinase Chk2 (Fragment)	CHEK2	Homo sapiens (Human)		CHEK2
Q6P4D3	Q6P4D3	q6p4d3	A kinase (PRKA) anchor protein 7	AKAP7	Homo sapiens (Human)		AKAP7
A0A0D9SFD6	A0A0D9SFD6	a0a0d9sfd6	Bifunctional polynucleotide phosphatase/kinase (Fragment)	PNKP	Homo sapiens (Human)		PNKP
A0A1B0GTT1	A0A1B0GTT1	a0a1b0gtt1	Brain-enriched guanylate kinase-associated protein	BEGAIN	Homo sapiens (Human)		BEGAIN
D6RAU2	D6RAU2	d6rau2	Receptor of-activated protein C kinase 1	RACK1	Homo sapiens (Human)		RACK1
E7EX48	E7EX48	e7ex48	Serine/threonine-protein kinase Nek4 (Fragment)	NEK4	Homo sapiens (Human)		NEK4
F8W1A2	F8W1A2	f8w1a2	Protein kinase C-binding protein NELL2 (Fragment)	NELL2	Homo sapiens (Human)		NELL2
E9PNM9	E9PNM9	e9pnm9	Protein kinase C and casein kinase substrate in neurons protein 3 (Fragment)	PACSIN3	Homo sapiens (Human)		PACSIN3
I3L1E3	I3L1E3	i3l1e3	Hepatocyte growth factor-regulated tyrosine kinase substrate (Fragment)	HGS	Homo sapiens (Human)		HGS
A0A0C4DGF9	A0A0C4DGF9	a0a0c4dgf9	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	PIK3C2A	Homo sapiens (Human)		PIK3C2A
A0A024RBH0	A0A024RBH0	a0a024rbh0	"PCTAIRE protein kinase 2, isoform CRA_a"	PCTK2 hCG_33122	Homo sapiens (Human)		PCTK2
A0A087WY36	A0A087WY36	a0a087wy36	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)		AKAP13
Q8WUW7	Q8WUW7	q8wuw7	Pyruvate kinase (EC 2.7.1.40) (Fragment)	PKM2	Homo sapiens (Human)		PKM2
A0A087WW79	A0A087WW79	a0a087ww79	Mitogen-activated protein kinase kinase kinase 9	MAP3K9	Homo sapiens (Human)		MAP3K9
G3V2J7	G3V2J7	g3v2j7	Cyclin-dependent kinase inhibitor 3 (EC 3.1.3.16) (EC 3.1.3.48)	CDKN3	Homo sapiens (Human)		CDKN3
E7EX54	E7EX54	e7ex54	Mitogen-activated protein kinase 14 (Fragment)	MAPK14	Homo sapiens (Human)		MAPK14
A0A024R996	A0A024R996	a0a024r996	"PCTAIRE protein kinase 3, isoform CRA_b"	PCTK3 hCG_14997	Homo sapiens (Human)		PCTK3
K7EID3	K7EID3	k7eid3	cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment)	PRKAR1A	Homo sapiens (Human)		PRKAR1A
E5RIY8	E5RIY8	e5riy8	Cyclin-dependent kinase 16 (Fragment)	CDK16	Homo sapiens (Human)		CDK16
A0A087WXX9	A0A087WXX9	a0a087wxx9	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	PRKAA2	Homo sapiens (Human)		PRKAA2
A0A0C4DGG1	A0A0C4DGG1	a0a0c4dgg1	Protein kinase C and casein kinase substrate in neurons protein 3 (Fragment)	PACSIN3	Homo sapiens (Human)		PACSIN3
K7EJS6	K7EJS6	k7ejs6	Mitogen-activated protein kinase kinase kinase kinase 1 (Fragment)	MAP4K1	Homo sapiens (Human)		MAP4K1
E9PCP8	E9PCP8	e9pcp8	"cDNA FLJ52442, highly similar to Creatine kinase, ubiquitous mitochondrial (EC 2.7.3.2)"		Homo sapiens (Human)		
C9JEV6	C9JEV6	c9jev6	N-acetyl-D-glucosamine kinase	NAGK	Homo sapiens (Human)		NAGK
A0A087WX39	A0A087WX39	a0a087wx39	Epidermal growth factor receptor kinase substrate 8-like protein 2	EPS8L2	Homo sapiens (Human)		EPS8L2
Q16715	Q16715	q16715	Pyruvate kinase (EC 2.7.1.40) (Fragment)		Homo sapiens (Human)		
X5DNW6	X5DNW6	x5dnw6	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	NTRK3	Homo sapiens (Human)		NTRK3
B4DG55	B4DG55	b4dg55	"cDNA FLJ53905, highly similar to Phosphatidylinositol-4-phosphate 3-kinase C2domain-containing alpha polypeptide (EC 2.7.1.154)"		Homo sapiens (Human)		
D6RAF9	D6RAF9	d6raf9	Tyrosine-protein kinase Fer	FER	Homo sapiens (Human)		FER
K7EPB2	K7EPB2	k7epb2	cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment)	PRKAR1A	Homo sapiens (Human)		PRKAR1A
A0A1B0GUF0	A0A1B0GUF0	a0a1b0guf0	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2"	MAGI2	Homo sapiens (Human)		MAGI2
A0MZF5	A0MZF5	a0mzf5	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	PRKAA2	Homo sapiens (Human)		PRKAA2
B4DDX7	B4DDX7	b4ddx7	"cDNA FLJ56544, highly similar to Proto-oncogene tyrosine-protein kinase FER (EC 2.7.10.2)"		Homo sapiens (Human)		
M0QX88	M0QX88	m0qx88	Inactive serine/threonine-protein kinase VRK3 (Fragment)	VRK3	Homo sapiens (Human)		VRK3
A0A0U1RR22	A0A0U1RR22	a0a0u1rr22	Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment)	PACSIN2	Homo sapiens (Human)		PACSIN2
F5H1B5	F5H1B5	f5h1b5	Epidermal growth factor receptor kinase substrate 8 (Fragment)	EPS8	Homo sapiens (Human)		EPS8
Q59FU4	Q59FU4	q59fu4	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107) (Fragment)		Homo sapiens (Human)		
E9PBG7	E9PBG7	e9pbg7	Calcium/calmodulin-dependent protein kinase type II subunit delta	CAMK2D	Homo sapiens (Human)		CAMK2D
B0AZU4	B0AZU4	b0azu4	"cDNA, FLJ79534, highly similar to Homo sapiens A kinase (PRKA) anchor protein 13 (AKAP13) (Fragment)"		Homo sapiens (Human)		
B7Z2I3	B7Z2I3	b7z2i3	Receptor protein-tyrosine kinase (EC 2.7.10.1)		Homo sapiens (Human)		
A4D2J9	A4D2J9	a4d2j9	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	CAMK2B tcag7.799	Homo sapiens (Human)		CAMK2B
B2R8A3	B2R8A3	b2r8a3	"cDNA, FLJ93805, highly similar to Homo sapiens creatine kinase, mitochondrial 2 (sarcomeric) (CKMT2), nuclear gene encoding mitochondrial protein, mRNA"		Homo sapiens (Human)		
A0A0S2Z355	A0A0S2Z355	a0a0s2z355	Cyclin-dependent kinase 5 isoform 2 (Fragment)	CDK5	Homo sapiens (Human)		CDK5
Q8N619	Q8N619	q8n619	Cyclin-dependent kinase 5 activator	CDK5R1	Homo sapiens (Human)		CDK5R1
A0A0D9SEN2	A0A0D9SEN2	a0a0d9sen2	Cyclin-dependent kinase 11B	CDK11B	Homo sapiens (Human)		CDK11B
E9PCD1	E9PCD1	e9pcd1	Serine/threonine-protein kinase WNK2	WNK2	Homo sapiens (Human)		WNK2
F5GYN6	F5GYN6	f5gyn6	Interleukin-1 receptor-associated kinase 3	IRAK3	Homo sapiens (Human)		IRAK3
B7Z1G6	B7Z1G6	b7z1g6	Non-specific serine/threonine protein kinase (EC 2.7.11.1)		Homo sapiens (Human)		
L7RRS0	L7RRS0	l7rrs0	"Phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha"	PIK3C2A	Homo sapiens (Human)		PIK3C2A
H7C527	H7C527	h7c527	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (Fragment)"	PIK3CB	Homo sapiens (Human)		PIK3CB
B4DS23	B4DS23	b4ds23	"cDNA FLJ61594, moderately similar to Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1) (Fragment)"		Homo sapiens (Human)		
A0A024R2Y6	A0A024R2Y6	a0a024r2y6	"SNF related kinase, isoform CRA_a"	SNRK hCG_26802	Homo sapiens (Human)		SNRK
E7ETM0	E7ETM0	e7etm0	Casein kinase I isoform alpha	CSNK1A1	Homo sapiens (Human)		CSNK1A1
B8ZZI5	B8ZZI5	b8zzi5	Serine/threonine-protein kinase 16	STK16	Homo sapiens (Human)		STK16
E9PC47	E9PC47	e9pc47	LIM domain kinase 1	LIMK1	Homo sapiens (Human)		LIMK1
B3KPZ3	B3KPZ3	b3kpz3	"cDNA FLJ32490 fis, clone SKNSH1000301, highly similar to Epidermal growth factor receptor kinasesubstrate 8-like protein 1"		Homo sapiens (Human)		
A0A075EKM8	A0A075EKM8	a0a075ekm8	Tyrosine-protein kinase receptor (EC 2.7.10.1)		Homo sapiens (Human)		
J3KRJ2	J3KRJ2	j3krj2	Aurora kinase B (Fragment)	AURKB	Homo sapiens (Human)		AURKB
B3KP83	B3KP83	b3kp83	"cDNA FLJ31382 fis, clone NHNPC2000187, highly similar to Docking protein 1 (Downstream of tyrosine kinase 1)"		Homo sapiens (Human)		
B4DM55	B4DM55	b4dm55	"cDNA FLJ53808, highly similar to Myotonin-protein kinase (EC 2.7.11.1)"		Homo sapiens (Human)		
C9JZT2	C9JZT2	c9jzt2	"Interferon-induced, double-stranded RNA-activated protein kinase (Fragment)"	EIF2AK2	Homo sapiens (Human)		EIF2AK2
A0A0A0MR98	A0A0A0MR98	a0a0a0mr98	NAD kinase	NADK	Homo sapiens (Human)		NADK
B4DQ16	B4DQ16	b4dq16	"cDNA FLJ57886, highly similar to Phosphorylase b kinase regulatory subunit beta"		Homo sapiens (Human)		
B4DKN1	B4DKN1	b4dkn1	"cDNA FLJ58507, highly similar to MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1)"		Homo sapiens (Human)		
H0Y7R3	H0Y7R3	h0y7r3	Serine/threonine-protein kinase WNK2 (Fragment)	WNK2	Homo sapiens (Human)		WNK2
E5RFR5	E5RFR5	e5rfr5	Tyrosine-protein kinase ITK/TSK (Fragment)	ITK	Homo sapiens (Human)		ITK
D6RF82	D6RF82	d6rf82	Dual-specificity protein kinase TTK (Fragment)	TTK	Homo sapiens (Human)		TTK
F8WAK5	F8WAK5	f8wak5	Serine/threonine-protein kinase 33	STK33	Homo sapiens (Human)		STK33
B4DH08	B4DH08	b4dh08	"cDNA FLJ56980, highly similar to Cyclin-dependent kinase-like 2 (EC 2.7.11.22)"		Homo sapiens (Human)		
Q53SE4	Q53SE4	q53se4	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107) (Fragment)	DGKD	Homo sapiens (Human)		DGKD
M0R3F7	M0R3F7	m0r3f7	"Atypical kinase COQ8B, mitochondrial (Fragment)"	COQ8B	Homo sapiens (Human)		COQ8B
